Id,Titel,Nummer,Toevoeging,HoogsteVolgnummer,Kamer,Verwijderd
7994645c-37c9-4c86-a577-000575f262a8,Logistiek en goederenvervoer,34244.0,,12.0,Tweede Kamer,False
3c52015a-b35d-46ae-8b88-0010148a4e89,Homogene Groep Internationale Samenwerking 2009 (HGIS-nota 2009),31703.0,,5.0,Tweede Kamer,False
13e27ccb-e4f0-4c1d-9772-0014c7f2cafd,Bouwregelgeving,28325.0,,299.0,Tweede Kamer,False
ad2e85d9-16f2-4216-9c74-0016f59664f8,Wijziging van de Wet medisch-wetenschappelijk onderzoek met mensen in verband met een uitbreiding van de meldingsplicht van ernstige ongewenste voorvallen,33646.0,,10.0,Tweede Kamer,False
5407e0ba-91a2-443b-a4a9-001abb3a2b71,Vaststelling van de begrotingsstaten van het Ministerie van Economische Zaken (XIII) en het Diergezondheidsfonds (F) voor het jaar 2015,34000.0,XIII,153.0,Tweede Kamer,False
9142308b-cb9c-41f9-812d-003182f74ed6,"Internationaal verdrag ter bestrijding van dopinggebruik bij sport, met bijlagen; Parijs, 19 oktober 2005 ",31900.0,(R1879),1.0,Tweede Kamer,False
564a009e-7d6a-41e6-ab23-003da79511ca,Bundeling en aanpassing van regels over de registers met betrekking tot onderwijsdeelnemers (Wet register onderwijsdeelnemers),34878.0,,19.0,Tweede Kamer,False
5504f9dd-d0fe-4076-978d-0042ee1e0b2e,Wijziging van de Kernenergiewet in verband met de aanpassing van de taak van de Autoriteit Nucleaire Veiligheid en Stralingsbescherming ten aanzien van beleidsvoorbereiding en beleidsevaluatie,36490.0,,6.0,Tweede Kamer,False
cfd13491-84a7-4297-a64f-0043ff56e04e,Conferentie van commissies voor Europese aangelegenheden uit de parlementen van de lidstaten van de EU en van een delegatie uit het Europees Parlement,22660.0,,92.0,Tweede Kamer,False
f1b5268d-9aa0-4668-8909-004e32cbb448,Initiatiefnota van het lid Diertens over een gezonde leefstijl,35655.0,,12.0,Tweede Kamer,False
c67974ec-a96e-4b49-a1f0-005e1aa8d4c8,"Samenwerkingsovereenkomst betreffende een civiel mondiaal satellietnavigatiesysteem (Civil Global Navigation Satellite System)(GNSS) tussen de Europese Gemeenschap en haar lidstaten, enerzijds, en de Republiek Korea, anderzijds; 9 september 2006",31851.0,,1.0,Tweede Kamer,False
6bb1c010-549f-4772-a215-00603da5e242,Wijziging van de begrotingsstaten van het Ministerie van Economische Zaken en Klimaat (XIII) voor het jaar 2021 (wijziging samenhangende met de Voorjaarsnota),35850.0,XIII,5.0,Tweede Kamer,False
eb747494-c7cc-47f7-9784-006046949cbe,Wijziging van onder meer het Wetboek van Strafvordering BES in verband met aanpassing van de regeling van de bijzondere opsporingsbevoegdheden en enkele andere wijzigingen,34976.0,,7.0,Tweede Kamer,False
ee6cb54c-7f7a-4b34-bf7c-00655f80f728,Vaststelling van de begrotingsstaten van het Ministerie van Verkeer en Waterstaat (XII) voor het jaar 2010,32123.0,XII,55.0,Tweede Kamer,False
13a2a058-4123-4d04-84ec-006cc7b412e7,Wijziging van de Wet informatie-uitwisseling ondergrondse netten in verband met een vrijstelling van de meldplicht voor ondiepe werkzaamheden,32874.0,,5.0,Tweede Kamer,False
1eaecddb-94b5-4ee3-9f38-0070da313dc1,"Wijziging van de Wet op de Europese ondernemingsraden in verband met de uitvoering van richtlijn 2009/38/EG van het Europees Parlement en de Raad van de Europese Unie van 6 mei 2009 (PbEU 2009, L 122), houdende herschikking van richtlijn 94/45/EG, inzake de instelling van een Europese ondernemingsraad of van een procedure in ondernemingen of concerns met een communautaire dimensie ter informatie en raadpleging van de werknemers",32705.0,,7.0,Tweede Kamer,False
5fd153f8-2440-4767-aad3-0077e8f9a919,Wijziging van de begrotingsstaat van het gemeentefonds voor het jaar 2024 (wijziging samenhangende met Miljoenennota),36613.0,B,3.0,Tweede Kamer,False
16773974-dd67-4c69-a1da-007cc9420b9e,Wijziging van de begrotingsstaat van het Ministerie van Economische Zaken en Klimaat (XIII) voor het jaar 2024 (Tweede incidentele suppletoire begroting inzake Maatwerkfinanciering CO2-reductie Verduurzaming Industrie),36504.0,,3.0,Tweede Kamer,False
f5519201-fc49-4625-9fb1-008056fba463,Wijziging van de Wet luchtvaart ter implementatie van richtlijn nr. 2003/42/EG inzake melding van voorvallen in de burgerluchtvaart,29977.0,,20.0,Tweede Kamer,False
57ce7fe0-a807-4cf1-9029-0098284204e0,Structuur van de uitvoering werk en inkomen (SUWI),26448.0,,855.0,Tweede Kamer,False
880e9c75-df94-4277-b8de-009dad0bfa3b,Jaarverslag en slotwet Ministerie van Buitenlandse Zaken en van Buitenlandse Handel en Ontwikkelingssamenwerking 2013,33930.0,V,6.0,Tweede Kamer,False
28b9fb5e-2b90-4c51-9223-00a5c7b64951,Wijziging van het Wetboek van Strafrecht in verband met de verhoging van de strafmaxima voor mensensmokkel,34345.0,,8.0,Tweede Kamer,False
8d570dd6-a19e-4b7c-ae7b-00aa527493cb,"Verdrag betreffende de bescherming en de bevordering van de diversiteit van cultuuruitingen, met Bijlage; Parijs, 20 oktober 2005 
",31971.0,,1.0,Eerste Kamer en Tweede Kamer,False
be512686-2f3c-4360-9b10-00b24102214e,Initiatiefnota van het lid Von Martels “Weidse blik op de weidevogels”,35616.0,,12.0,Tweede Kamer,False
8432ec8d-86cb-48d8-a8fe-00b82c640ebb,Vaststelling van de begrotingsstaat van Koninkrijksrelaties (IV) voor het jaar 2011,32500.0,IV,50.0,Tweede Kamer,False
f17b1d4b-50d5-480f-82d8-00b8acffe980,Wijziging van de Wet educatie en beroepsonderwijs BES in verband met uitbreiding van de uitzonderingsmogelijkheid om het onderwijs en de examens van mbo-opleidingen op Bonaire in het Papiaments aan te bieden,35893.0,,9.0,Tweede Kamer,False
4006cddb-b439-4a0d-b8ae-00bad697c900,"Wijziging van de Wet op het hoger onderwijs en wetenschappelijk onderzoek in verband met aanpassing van het accreditatiestelsel
",32210.0,,24.0,Tweede Kamer,False
2dac8731-4897-4bc9-8ab1-00c302c5e7ba,Wijziging van de Wet op de internationale bijstandsverlening bij de heffing van belastingen en de Wet minimumbelasting 2024 in verband met de implementatie van Richtlijn (EU) van de Raad van 14 april 2025 tot wijziging van Richtlijn 2011/16/EU betreffende de administratieve samenwerking op het gebied van de belastingen (Wet implementatie EU-richtlijn gegevensuitwisseling minimumbelasting),36818.0,,6.0,Tweede Kamer,False
873c8b78-2293-452e-8c15-00dcb21968a0,"Wijziging van de Wet goed verhuurderschap, Boek 7 van het Burgerlijk Wetboek, de Uitvoeringswet huurprijzen woonruimte en enige andere wetten in verband met de regulering van huurprijzen en de bescherming van rechten van huurders (Wet betaalbare huur)",36496.0,,74.0,Tweede Kamer,False
84a0b44a-fb90-4ce9-8007-00e1c68f6875,"Wijziging van de Wet op het kindgebonden budget tot intensivering van het kindgebonden budget in verband met koopkrachtondersteuning, wijziging van de Algemene Ouderdomswet en enkele andere wetten in verband met het afschaffen van de inkomensondersteuning voor AOW’ers en wijziging van de Wet tegemoetkomingen loondomein in verband met aanpassingen van het lage-inkomensvoordeel",36208.0,,13.0,Tweede Kamer,False
7db3a964-467c-47c5-a5ef-00e9617ed77a,"Wijziging van de begrotingsstaten van het Ministerie van Landbouw, Natuur en Voedselkwaliteit (XIV) en het Diergezondheidsfonds (F) voor het jaar 2024 (wijziging samenhangende met de Voorjaarsnota)",36550.0,XIV,4.0,Tweede Kamer,False
0fcfd8e4-fcb9-4245-a267-010fcda8d30e,"Jaarverslag en slotwet overige Hoge Colleges van Staat, Kabinetten van de Gouverneurs en de Kiesraad 2021",36100.0,IIB,5.0,Tweede Kamer,False
64b389bb-fb7b-4db0-94d2-011109cbbf58,"Overeenkomst tot wijziging van de op 25 november 1986 te Brussel tot stand gekomen Overeenkomst inzake de terbeschikkingstelling en exploitatie van installaties en diensten voor het luchtverkeer door EUROCONTROL in het Luchtverkeersleidingscentrum Maastricht (Overeenkomst van Maastricht); Brussel, 17 december 2020",35855.0,,2.0,Eerste Kamer en Tweede Kamer,False
12a17527-51dd-4a46-aea5-011ba3a0d598,Wijziging van de begrotingsstaat van het Ministerie van Buitenlandse Zaken (V) voor het jaar 2020 (wijziging samenhangende met de Voorjaarsnota) ,35450.0,V,3.0,Tweede Kamer,False
6ab8d9c0-0c37-4c6d-8453-0135a5275aef,NAVO,28676.0,,553.0,Tweede Kamer,False
893409e6-1225-457b-ac4a-013de3e8a64f,Natuurbeleid; een onnodig groeiend ongenoegen,30690.0,,14.0,Tweede Kamer,False
0792db2e-4e7a-4800-97d3-013e5dfe378f,Wijziging van de begrotingsstaat van de Koning (I) voor het jaar 2016 (wijziging samenhangende met de Voorjaarsnota),34485.0,I,3.0,Tweede Kamer,False
cea1c2e7-b8bb-48b1-91f2-014bee56e1b2,Ontslag en benoeming staatssecretaris van Financiën,33860.0,,2.0,Tweede Kamer,False
0c095005-8cea-4f03-8828-0151e47b08a3,Vaststelling van de begrotingsstaten van het Ministerie van Economische Zaken en Klimaat (XIII) voor het jaar 2022,35925.0,XIII,100.0,Tweede Kamer,False
346d2494-7abe-4eca-8e48-01576b347760,"EU-voorstellen: Grenzenpakket COM (2015) 670, 671, 673, 667 en 669",34382.0,,-1.0,Eerste Kamer,False
b0d5910b-bb17-4228-84cb-0158f4cfcafe,"Raamwet Adviesraden buitenlands, ontwikkelingssamenwerkings- en defensiebeleid",20585.0,,10.0,Tweede Kamer,False
