date,count
1815-01-10,356
1815-09-29,148
1815-10-16,42
1815-10-18,84
1815-11-04,178
1815-12-27,68
1815-12-28,24
1815-12-29,10
1816-01-04,116
1816-01-16,138
1816-02-07,222
1816-02-08,896
1816-05-22,50
1816-05-28,505
1816-05-31,154
1816-06-07,1801
1816-06-12,150
1816-06-19,84
1816-06-20,66
1816-06-21,81
1816-06-25,51
1816-06-27,150
1816-07-03,588
1816-07-04,71
1816-07-09,34
1816-07-11,93
1816-07-16,688
1816-07-23,176
1816-08-07,283
1816-08-13,107
1816-08-14,396
1816-08-16,226
1816-08-20,498
1816-08-22,436
1816-08-27,305
1816-08-29,278
1816-08-30,2629
1816-08-31,332
1816-09-03,4
1816-09-05,62
1816-09-10,284
1816-09-13,479
1816-09-17,102
1816-09-18,1985
1816-09-20,1001
1816-09-24,65
1816-09-25,494
1816-09-28,6942
1816-10-03,59
1816-10-21,20
1816-10-22,70
1816-10-25,9
1816-11-05,721
1816-11-08,143
1816-11-12,22
1816-11-22,50
1816-11-26,95
1816-11-29,46
1816-12-03,158
1816-12-06,850
1816-12-10,13
1816-12-12,1495
1816-12-13,2126
1816-12-14,264
1816-12-19,404
1816-12-24,6
1816-12-26,2643
1816-12-28,105
1817-01-02,74
1817-01-03,239
1817-01-07,30
1817-01-10,102
1817-01-15,438
1817-01-18,53
1817-01-21,67
1817-01-23,1763
1817-01-24,182
1817-01-25,380
1817-01-27,317
1817-10-21,215
1817-10-31,258
1817-11-07,115
1817-11-13,1269
1817-11-18,300
1817-11-21,197
1817-11-25,19
1817-11-28,72
1817-12-03,676
1817-12-05,462
1817-12-10,219
1817-12-16,2736
1817-12-20,356
1817-12-22,1357
1817-12-23,281
1818-01-07,241
1818-01-13,131
1818-01-20,159
1818-01-22,1665
1818-01-23,433
1818-01-28,7344
1818-01-29,320
1818-01-30,229
1818-02-03,406
1818-02-10,1204
1818-02-17,487
1818-02-18,370
1818-02-19,2266
1818-02-20,1597
1818-02-21,601
1818-03-03,573
1818-03-07,90
1818-03-09,1552
1818-03-10,2279
1818-03-13,29
1818-10-20,106
1818-10-22,4
1818-10-23,272
1818-10-27,52
1818-11-12,690
1818-11-19,2270
1818-11-20,442
1818-11-23,1631
1818-12-15,302
1818-12-19,4177
1818-12-22,491
1818-12-31,828
1819-01-21,609
1819-01-30,385
1819-02-10,892
1819-02-13,1447
1819-02-26,3930
1819-03-08,1453
1819-03-24,238
1819-03-27,1471
1819-04-05,2482
1819-04-15,5716
1819-04-16,3749
1819-04-17,5077
1819-04-22,898
1819-04-24,3489
1819-04-27,1306
1819-05-01,496
1819-05-04,170
1819-05-06,3410
1819-05-07,469
1819-05-10,681
1819-05-12,378
1819-05-14,2377
1819-05-17,591
1819-05-18,334
1819-05-19,402
1819-05-21,635
1819-10-18,169
1819-10-28,442
1819-11-10,157
1819-11-17,291
1819-11-30,322
1819-12-01,154
1819-12-13,106
1819-12-15,132
1819-12-24,6519
1819-12-28,138
1820-02-11,469
1820-02-16,122
1820-02-18,372
1820-02-23,279
1820-02-28,192
1820-03-08,69
1820-03-22,17
1820-03-29,3773
1820-04-18,98
1820-04-22,1577
1820-05-13,177
