src_id	rapport_titel	vergaderjaar	datum	doc_url	commissie	commissie_score	n_woorden	n_unieke_woorden	ttr	hapax_ratio	gem_zinslengte	n_nominalisaties	ratio_nominalisaties	formele_taal_ratio	n_afkortingen	ratio_afkortingen	n_vragen	n_unieke_antwoorden	n_verwijzingen	ratio_verwijzingen	gem_vraaglengte	gem_antwoordlengte	antwoord_vraag_ratio	vraag_ttr	n_ext_verwijzingen
rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Kosten jeugdbescherming en jeugdreclassering	2011-2012	13 februari 2012	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	Vaste commissie voor Financiën en de Rijksuitgaven	71.8	2350	603	0.2566	0.5688	18.13	86	3.66	0.4064	137	5.83	23	23	0	0.0	28.39	60.87	2.144	0.8411	0
rekenkamer__kamerstuk:2012:03:13:beantwoording-kamervragen-over-het-rapport-vastgoed-van-het-rijk-volume-en-waarde	Vastgoed van het Rijk: volume en waarde	2011-2012	13 maart 2012	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/03/13/beantwoording-kamervragen-over-het-rapport-vastgoed-van-het-rijk-volume-en-waarde/Beantwoording+TK+vragen+Vastgoed+van+het+Rijk.pdf	Vaste commissie voor Financiën en de Rijksuitgaven	71.8	957	341	0.3563	0.6891	18.87	18	1.88	0.4284	29	3.03	8	6	2	0.25	25.62	86.5	3.376	0.8682	0
rekenkamer__kamerstuk:2012:05:03:beantwoording-kamervragen-over-het-rapport-prestaties-in-de-strafrechtketen				https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/05/03/beantwoording-kamervragen-over-het-rapport-prestaties-in-de-strafrechtketen/Beantwoording+TK+vragen+Strafrechtketen.pdf	Vaste commissie voor Veiligheid en Justitie	90.7	4662	1190	0.2553	0.6017	21.76	187	4.01	0.4078	116	2.49	0	0	0	0.0	0.0	0.0	0.0	0.0	0
rekenkamer__kamerstuk:2012:05:16:beantwoording-kamervragen-bij-het-rapport-bij-het-jaarverslag-2011-van-de-nationale-schuld	Rapport bij het Jaarverslag 2011 van Nationale Schuld	2011-2012	11 juni 2012	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/06/11/beantwoording-kamervragen-bij-het-rapport-bij-het-jaarverslag-2011-van-de-nationale-schuld/Antwoorden+op+Kamervragen+NS.pdf		0.0	464	209	0.4504	0.7129	20.5	18	3.88	0.3901	33	7.11	1	1	0	0.0	77.0	201.0	2.61	0.6026	1
rekenkamer__kamerstuk:2012:06:11:beantwoording-kamervragen-over-het-rapport-bij-het-jaarverslag-2011-van-het-ministerie-van-defensie	Rapport bij het Jaarverslag 2011 van het Ministerie van Defensie	2011-2012	11 juni 2012	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/06/11/beantwoording-kamervragen-over-het-rapport-bij-het-jaarverslag-2011-van-het-ministerie-van-defensie/Antwoorden+op+Kamervragen.pdf	Vaste commissie voor Defensie	86.2	1745	532	0.3049	0.6015	20.11	59	3.38	0.4309	46	2.64	15	15	0	0.0	23.53	72.6	3.085	0.8842	1
rekenkamer__kamerstuk:2012:06:11:beantwoording-kamervragen-rapport-bij-het-jaarverslag-2011-van-het-ministerie-van-algemene-zaken	Rapport bij het Jaarverslag 2011 van het Ministerie van Algemene Zaken (III)	2011-2012	11 juni 2012	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/06/11/beantwoording-kamervragen-rapport-bij-het-jaarverslag-2011-van-het-ministerie-van-algemene-zaken/Antwoorden+op+Kamervragen.pdf	Vaste commissie voor Binnenlandse Zaken	91.7	351	150	0.4274	0.6467	24.8	12	3.42	0.3704	25	7.12	1	1	0	0.0	53.0	99.0	1.868	0.6296	1
rekenkamer__kamerstuk:2012:06:11:beantwoording-vragen-tweede-kamer-bij-het-rapport-bij-het-jaarverslag-2011-van-het-ministerie-van-financien	Rapport bij het Jaarverslag 2011 van het Ministerie van Financiën	2011-2012	11 juni 2012	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/06/11/beantwoording-vragen-tweede-kamer-bij-het-rapport-bij-het-jaarverslag-2011-van-het-ministerie-van-financien/Antwoorden+op+Kamervragen.pdf		0.0	567	209	0.3686	0.6364	19.52	23	4.06	0.3862	38	6.7	2	2	0	0.0	35.0	142.5	4.071	0.6934	1
rekenkamer__kamerstuk:2012:09:10:beantwoording-kamervragen-over-het-rapport-geldstromen-in-het-hoger-beroepsonderwijs-in-2010	Geldstromen in het hoger beroepsonderwijs in 2010	2011-2012	10 september 2012	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/09/14/beantwoording-kamervragen-over-het-rapport-geldstromen-in-het-hoger-beroepsonderwijs-in-2010/Beantwoording+TK+vragen+HBO.pdf	Vaste commissie voor Onderwijs, Cultuur en Wetenschap	92.5	1239	425	0.343	0.5906	19.44	41	3.31	0.4407	22	1.78	14	14	0	0.0	21.07	49.79	2.363	0.889	0
rekenkamer__kamerstuk:2012:09:14:beantwoording-kamervragen-over-het-rapport-publieke-organisaties-en-private				https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/09/14/beantwoording-kamervragen-over-het-rapport-publieke-organisaties-en-private/Beantwoording+TK+vragne+publieke+organisaties.pdf		0.0	3580	900	0.2514	0.5978	17.77	149	4.16	0.4268	87	2.43	0	0	0	0.0	0.0	0.0	0.0	0.0	0
rekenkamer__kamerstuk:2012:09:27:beantwoording-kamervragen-over-het-rapport-risico%E2%80%99s-voor-de-overheidsfinancien	Risico's voor de overheidsfinanciën; Inzicht en beheersing	2011-2012	27 september 2012	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/09/27/beantwoording-kamervragen-over-het-rapport-risico%E2%80%99s-voor-de-overheidsfinancien/Brief+aan+TK-vragen+overheidsfinancien.pdf	Vaste commissie voor Financiën en de Rijksuitgaven	71.8	829	272	0.3281	0.5882	24.09	10	1.21	0.3836	21	2.53	6	4	2	0.3333	25.67	82.25	3.204	0.8902	0
