batch_idx	src_id	src_title	src_url	src_published_at	dossier_nummer	rapport_titel	datum	vergaderjaar	vraag_nr	vraag	antwoord	antwoord_zie_nr	verwijzingen	llm_label	llm_confidence	llm_reasoning
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	1	Hoe kan het dat het collectieve eigen vermogen van de Bureaus Jeugdzorg is toegenomen maar dat er toch grote tekorten worden geconstateerd?	Ons onderzoek was gericht op de justitiële taken van de bureaus jeugdzorg en de landelijk werkende instellingen (BJZ/LWI). Daar hebben we tekorten geconstateerd. Het eigen vermogen van de BJZ/LWI heeft echter betrekking op zowel de vrijwillige als de justitiële taken. De BJZ/LWI kunnen een tekort bij de justitiële taken opvangen met positieve resultaten bij de overige taken die de bureaus jeugdzorg uitvoeren. Dat is overigens toegestaan.			FEIT	H	De AR beschrijft feitelijk hoe het verschil tussen het eigen vermogen en de tekorten verklaard kan worden: het eigen vermogen omvat zowel vrijwillige als justitiële taken, waardoor tekorten bij justitiële taken gecompenseerd kunnen worden. Er wordt geen oordeel of aanbeveling gegeven, puur een feitelijke toelichting.
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	2	Waar zitten exact de verschillen tussen de opvattingen van de Bureaus Jeugdzorg en het ministerie van Veiligheid en Justitie ten aanzien van de gemaakte afspraken over de tarieven?	Het Ministerie van Veiligheid en Justitie financiert een gemiddeld aantal uren per type justitiële maatregel bij een bepaald productiviteitsniveau (1244 uren per jaar per jeugdbeschermer of jeugdreclasseringsmedewerker). Dit is te vertalen naar een gemiddelde caseload per type maatregel per medewerker (zoals wij toelichten op p. 20 van het rapport). De BJZ/LWI nemen veelal alleen deze gemiddelde caseload als uitgangspunt zonder te refereren aan een productiviteitsniveau. Daar zit het verschil in opvatting tussen de BJZ/LWI en het ministerie.			FEIT	H	De AR beschrijft feitelijk waar het verschil in opvatting zit tussen de Bureaus Jeugdzorg en het ministerie, namelijk het wel of niet hanteren van een productiviteitsniveau naast de gemiddelde caseload. Er wordt geen oordeel geveld of aanbeveling gedaan, enkel een toelichting op de bevindingen uit het rapport.
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	3	Een gemiddelde caseload van één jeugdbeschermer op vijftien cliënten zou optimaal zijn. Kan de Algemene Rekenkamer aangeven hoe groot de gemiddelde caseload er nu feitelijk uitziet?	Voor de maatregelen 'OTS 1e jaar' en 'OTS vervolgjaren' geldt een gemiddelde caseload van respectievelijk 1 (jeugdbeschermer) op 13 (cliënten) en 1 op 15,7. De (gewogen) gemiddelde caseload voor ondertoezichtstellingen is dan 1 op 15 (zie p. 20 van het rapport). De caseload komt voort uit het gemiddeld aantal uren dat nodig is om een maatregel voor een kind verantwoord uit te kunnen voeren, gegeven een bepaalde productiviteit (zie antwoord vraag 2). Het is echter onbekend hoeveel uren een jeugdbeschermer daadwerkelijk gemiddeld per maatregel besteedt. Het is evenmin bekend wat het aantal gerealiseerde productieve uren per jaar per jeugdbeschermer of jeugdreclasseringsmedewerker is. Daarom kunnen wij voor 2009 en 2010 geen inzicht geven in de gerealiseerde gemiddelde caseload. Om die reden bevelen we in ons rapport aan om vast te stellen in welke mate elke BJZ/LWI voldoet aan de uitvoeringsafspraken. Dit inzicht en het inzicht in de kostprijzen per maatregel stellen provincies en grootstedelijke regio's in staat om de BJZ/LWI aan te sturen, zowel wat betreft de financiën van de BJZ/LWI als het nakomen van de uitvoeringsafspraken door de BJZ/LWI.			ADV	H	Het antwoord bevat feitelijke informatie over caseload én een expliciete aanbeveling ('bevelen we in ons rapport aan om vast te stellen in welke mate elke BJZ/LWI voldoet aan de uitvoeringsafspraken'). Volgens de prioriteitsregel ADV > OOR > FEIT wint het prescriptieve element.
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	4	De Algemene Rekenkamer geeft aan dat Friesland en Groningen in 2009 en 2010 een hogere prijs financieerden dan de normprijs. Kan toegelicht worden waarom Friesland en Groningen in deze twee jaren een hogere prijs financierden?	Wij kennen de overwegingen van de provincies Friesland en Groningen om hun BJZ een hogere prijs per maatregel te vergoeden dan de normprijs niet. De achtergrond van de hogere vergoeding maakte geen deel uit van het onderzoek.			DEFL	H	De AR geeft expliciet aan dat zij de overwegingen niet kennen en dat dit geen deel uitmaakte van het onderzoek. Er wordt geen substantiële inhoud geleverd, alleen een verklaring dat het buiten scope valt.
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	5	Hoe komt het dat het onbekend is hoeveel van de efficiencykorting van € 300 miljoen betrekking heeft op de jeugdbescherming en jeugdreclassering?	De efficiencykorting heeft betrekking op de overheveling van jeugdzorgtaken naar de gemeenten. Tijdens ons onderzoek hadden de staatssecretarissen van Volksgezondheid, Welzijn en Sport (VWS) en Veiligheid en Justitie (VenJ) die overheveling nog niet uitgewerkt. Het was toen dus nog niet bekend hoeveel van de efficiencykorting betrekking heeft op de jeugdbescherming en jeugdreclassering.			FEIT	H	De AR beschrijft feitelijk waarom het onbekend was: de overheveling was nog niet uitgewerkt ten tijde van het onderzoek. Er wordt geen oordeel geveld of aanbeveling gedaan, puur een feitelijke toelichting op de situatie.
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	6	De belangrijkste manier bij het omgaan met tekorten was het niet nakomen van de uitvoeringsafspraken. Werd het nakomen van de gemaakte afspraken in de onderzochte periode gemonitord door de provincies en grootstedelijke regio's? Hebben de zeventien Bureaus Jeugdzorg (BJZ)/Landelijk Werkende Instellingen (LWI) die zijn afgeweken van de uitvoeringsafspraken in deze periode ook aan de opdrachtgever gerapporteerd over het niet nakomen van de uitvoeringsafspraken?	Nee. Uit de jaarverslagen van de BJZ/LWI die wij hebben onderzocht, bleek dat zij niet rapporteerden over het wel of niet nakomen van de uitvoeringsafspraken. Uit ons onderzoek kwam naar voren dat de provincies een sluitende begroting verlangen van de BJZ/LWI. De provincies sturen niet op het nakomen van de uitvoeringsafspraken. We bevelen in paragraaf 1.2.1 van ons rapport aan dat er helderheid moet komen over de uitvoeringsafspraken. De provincies moeten vervolgens invulling geven aan de sturingsrol, zoals die hun is toegemeten in de Memorie van Toelichting bij de Wet op de jeugdzorg.			ADV	H	Het antwoord bevat zowel feitelijke bevindingen (BJZ/LWI rapporteerden niet, provincies sturen niet op nakomen afspraken) als een oordeel, én een expliciete aanbeveling ('We bevelen aan dat er helderheid moet komen' en 'De provincies moeten invulling geven aan de sturingsrol'). Volgens de prioriteitsregel ADV > OOR > FEIT geldt het label ADV.
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	7	Welke consequenties heeft het voor de BJZ/LWI dat er nu eenduidige afspraken gemaakt moeten worden over de financiering van de gezinsvoogdijmaatregelen? Is een mogelijke consequentie dat hulpverleners meer tijd moeten schrijven?	Zoals wij in het rapport aanbevelen zal geïnvesteerd moeten worden in de administratieve inrichting van de BJZ/LWI om inzicht te krijgen in het gemiddeld aantal gerealiseerde uren per justitiële maatregel en het gemiddeld aantal gerealiseerde productieve uren. Een mogelijke consequentie daarvan is dat jeugdbeschermers en jeugdreclasseringsmedewerkers tijd moeten schrijven.			ADV	H	Het antwoord bevat een expliciete aanbeveling ('zoals wij in het rapport aanbevelen zal geïnvesteerd moeten worden in de administratieve inrichting') met een prescriptief karakter gericht op toekomstige actie. Daarnaast wordt een feitelijke consequentie benoemd. Volgens de prioriteitsregel ADV > OOR > FEIT is ADV het juiste label.
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	8	Is er zicht op hoeveel medewerkers in 2009, 2010 en 2011 ontslagen zijn of zijn afgevloeid als gevolg van de tekorten bij de BJZ/LWI? Zo ja, hoeveel waren dit?	Nee, dit onderwerp maakte geen deel uit van ons onderzoek.			DEFL	H	De AR geeft expliciet aan dat dit onderwerp geen deel uitmaakte van het onderzoek en levert geen inhoudelijk antwoord. Dit is een klassiek voorbeeld van DEFL.
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	9	Wat zijn de gevolgen geweest van te weinig personele inzet bij de BJZ/LWI?	Om dreigende tekorten af te wenden hebben de BJZ/LWI minder personeel ingezet. Wij hebben geen onderzoek gedaan naar de gevolgen van minder personeelsinzet voor bijvoorbeeld de kwaliteit.			DEFL	M	De AR geeft een korte feitelijke constatering (minder personeel ingezet) maar beantwoordt de eigenlijke vraag naar de gevolgen niet: ze geeft expliciet aan dit niet te hebben onderzocht. De substantiële kern van de vraag wordt niet beantwoord, wat past bij DEFL. Het feitelijke element is minimaal en ondersteunt slechts de deflectie.
0	rekenkamer__kamerstuk:2012:02:13:beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering	Beantwoording Kamervragen over het rapport Kosten jeugdbescherming en jeugdreclassering	https://www.rekenkamer.nl/binaries/rekenkamer/documenten/kamerstukken/2012/02/13/beantwoording-kamervragen-over-het-rapport-kosten-jeugdbescherming-en-jeugdreclassering/Beantwoorden+TK+vragen+Jeugdbescherming.pdf	2012-02-13	31 839, nr. 158	Kosten jeugdbescherming en jeugdreclassering	13 februari 2012	2011-2012	10	Waarom kan er geen betrouwbaar beeld worden gegeven van de (onder) bezetting in 2009 en 2010 bij de BJZ/LWI?	Het is niet mogelijk een betrouwbaar samenvattend beeld van de (onder)bezetting te geven voor de jaren 2009 en 2010. Daarvoor verschilt de praktijk per instelling te veel, zijn de bezettingsgegevens onvoldoende vergelijkbaar en zijn de feitelijke financiële resultaten voor de beide justitiële maatregelen per instelling te ongelijksoortig. Mede hierdoor valt de mate van (onder)bezetting ook niet betrouwbaar te vertalen naar een financieel tekort op BJZ/LWI-niveau (zoals wij toelichten in hoofdstuk 2 van ons rapport). In paragraaf 3.3 van ons rapport worden de voorwaarden genoemd, waaraan de administraties van de BJZ/LWI moeten voldoen om de gerealiseerde kostprijs te kunnen berekenen. Op basis daarvan zouden zij ook over de (onder)bezetting kunnen rapporteren.			FEIT	H	De AR beschrijft feitelijk waarom een betrouwbaar beeld niet mogelijk is: te grote verschillen in praktijk, onvoldoende vergelijkbare gegevens en ongelijksoortige financiële resultaten. Er wordt verwezen naar het rapport voor verdere toelichting. Er is geen normatief oordeel of aanbeveling.
